	index	name	perm	sar_00	sar_01	sar_02	sar_03	sdr_00	sdr_01	sdr_02	sdr_03	sir_00	sir_01	sir_02	sir_03
0	0	AM Contra - Heart Peripheral_0.wav	2 1 0 3	-23.03974729580609	-21.93258095435542	-22.44110523575561	-23.034782380327744	-30.87931091134807	-28.652627694294964	-28.213967909477592	-26.147190919468606	-7.037754233726879	-5.653091479534012	-4.412967741223746	-0.18033234121289526
1	1	Al James - Schoolboy Facination_0.wav	1 2 3 0	-22.19337663120042	-21.611087530201264	-23.23502829138672	-20.29966906328547	-31.84444317333635	-28.342057701909766	-31.234770153935607	-21.61187575288548	-9.12680237659356	-5.66483902458244	-7.229718705142664	4.565555705855385
2	2	Angels In Amplifiers - I'm Alright_0.wav	3 1 0 2	-19.5035021124502	-19.192839531478224	-18.63998883403047	-17.778575660571235	-26.553629860890183	-30.045514205441513	-27.496663588631307	-19.139961889621407	-6.04758562390566	-10.428292496771139	-8.192288147746023	4.411403562170596
3	3	Arise - Run Run Run_0.wav	3 1 0 2	-26.253200888457343	-26.088730808781943	-25.36106433770582	-26.55298645190099	-34.93742434936946	-31.901235306008473	-30.36757330421668	-30.2589739773763	-8.04216100988655	-4.480800388817881	-3.346010887060571	-1.2855742950319162
4	4	BKS - Bulldozer_0.wav	3 1 2 0	-26.5803608558682	-25.71363374804992	-25.52029236453658	-25.270505614339513	-31.723814913885633	-30.727972003478254	-30.556569833816635	-31.776485147974928	-3.5478094896009775	-3.3584310388406386	-3.389901616166988	-5.394150518885043
5	5	BKS - Too Much_0.wav	1 2 0 3	-22.15372665651973	-21.66784643383703	-22.483250605547553	-22.928226156581246	-29.305210424055463	-29.517953578384382	-30.15254979880865	-24.567489291488922	-6.195536185048627	-7.042404732737081	-6.830244298942344	3.4080470507802616
6	6	Ben Carrigan - We'll Talk About It All Tonight_0.wav	3 2 0 1	-22.63353528433884	-21.83606246595817	-21.179051353637988	-22.279923321838233	-27.439875217638047	-27.015833812114984	-26.565338294893444	-27.71250549719158	-3.039266722925453	-3.581210846219064	-3.8700786156541667	-3.9424423233400474
7	7	Bobby Nobody - Stitch Up_0.wav	0 3 2 1	-23.124636382514502	-23.916854538499415	-23.32822214405878	-23.610670133675626	-26.676145894059058	-29.95319850330549	-30.382781555236274	-27.071067868619927	-1.0012875348221781	-4.7746038486775895	-6.081388741879332	-0.8390273232188286
8	8	Buitraker - Revo X_0.wav	1 0 3 2	-24.069171680948553	-24.605203178710248	-26.252624783598545	-23.188244062627923	-26.809291766642424	-30.827785143850363	-33.41256116907635	-29.939277395257548	0.5752726898168341	-5.023472456707654	-6.222092399852226	-5.699366195209608
9	9	Carlos Gonzalez - A Place For Us_0.wav	3 2 0 1	-21.90267442993698	-16.862772184486342	-16.303496204460224	-20.846598384932612	-31.846302411244093	-32.32402250375294	-17.557124918659753	-22.565913748693347	-9.451810989350166	-15.247436079221794	4.854825479266578	3.1718976185187104
10	10	Cristina Vane - So Easy_0.wav	3 1 2 0	-21.61785627922461	-20.110746824581884	-22.161872267861913	-20.58884677397602	-24.955265710822793	-28.557947626296247	-28.554394162219356	-23.918970812630526	-0.6014775671507804	-7.7349716902202195	-5.234032540686408	-0.5799443821292013
