	index	name	perm	sar_00	sar_01	sar_02	sar_03	sar_04	sdr_00	sdr_01	sdr_02	sdr_03	sdr_04	sir_00	sir_01	sir_02	sir_03	sir_04
0	0	song001_all.wav	1 4 0 2 3	-13.742187845698146	-17.93161676008802	-19.022934766727015	-15.26683191887136	-16.297109510022267	-14.261728462860328	-24.601363260459095	-32.04374397212051	-27.998504167795105	-29.87284499430819	9.13898898501082	-5.547467791398154	-12.744548930223656	-12.366467722897287	-13.280086337239643
1	1	song002_all.wav	1 3 4 0 2	-17.701560757888988	-16.41554315497916	-19.887655349732555	-22.09966898016451	-20.87002736744873	-20.591853163111395	-22.857446155089136	-23.98875966841494	-27.01163103499184	-27.1287879376153	0.3165341785220236	-5.22631137086968	-1.9175581591772126	-3.1930516123316655	-5.050543042237603
2	2	song003_all.wav	4 1 2 3 0	-13.17044514498605	-10.473591758823524	-11.611109036341672	-11.204705433076539	-14.849957891642037	-30.86885483927208	-12.015779760903877	-18.39582151971883	-16.498193800807986	-32.489750415425846	-17.419595530637505	4.075526483386199	-5.473014295969579	-3.454688404762893	-17.424471415227256
3	3	song004_all.wav	2 1 4 3 0	-19.015741176546	-19.569493093575595	-18.637545105070576	-18.44857764114059	-20.908351748457115	-24.986942521566586	-24.829686722631003	-21.035165082219834	-23.261835313826943	-27.685546177791718	-4.651084346893462	-3.676872310670505	1.3852468463592493	-3.011579042112066	-5.718211666735293
4	4	song005_all.wav	3 1 0 2 4	-18.75817752604892	-18.868303808571277	-20.12353633973411	-20.04921439792949	-20.234586768677882	-32.195099040380725	-22.25655971760134	-29.391144277253964	-27.314741120045298	-23.096375029707353	-13.178067402328942	-0.66964128912731	-8.67846714345346	-6.3200012183100664	0.34323439586407367
5	5	song006_all.wav	3 2 0 4 1	-19.30475925741295	-19.825353622999202	-19.908884010869546	-19.916732956507705	-17.762303163195558	-28.848102462961638	-27.54527790299661	-25.133444489995043	-26.146246450626414	-20.686337709642807	-8.981260235299334	-6.870710878711954	-3.629602748217592	-5.003542850092608	0.24638056529959595
6	6	song007_all.wav	0 1 2 4 3	-20.282488623357615	-18.898086447883458	-19.947541533543742	-20.94803859418532	-19.330125356819195	-30.75556006865483	-21.476953283642853	-27.2806997187904	-32.37759897717335	-24.039947612835597	-10.024509993870241	0.9661158565888218	-6.4021039657841925	-11.07049104933262	-2.8675069036983016
7	7	song008_all.wav	1 2 0 4 3	-11.853852902372399	-11.151366881637138	-2.492350455695969	-0.9955422197349675	4.189843013226779	-19.047775447388922	-14.769232472062107	-6.275871934608004	-4.168463618857627	4.103375996854265	-5.999875645674235	-0.8194768773397975	0.5111528111220733	2.2216202039647137	22.558063250389427
8	8	song009_all.wav	0 3 1 4 2	-20.10028605082532	-18.292610659544568	-18.516471721866193	-18.76913763606483	-19.05045481343993	-23.57793152704093	-27.79215638287696	-21.58311715693474	-23.288715878355365	-25.029738680426078	-0.8470181199633792	-8.91875646538722	-0.05128178450064745	-2.5698809977721417	-4.662327240039775
9	9	song010_all.wav	4 0 2 1 3	-17.25839814562097	-22.58795747737424	-20.268129821234247	-20.750961786254727	-17.97239256955283	-18.519543215640464	-28.14087731431501	-30.062070021100237	-27.806941954806618	-23.070218339944653	4.805261318011034	-4.111868608975568	-9.272215866600643	-6.066912783102624	-3.4227244504831846
